Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
# 2398, Balls: White, Green, Blue, Blue
# 2399, Balls: White, Blue, Black, Blue
# 2400, Balls: White, Red, Red, White
# 2401, Balls: Blue, Black, Black, Red
# 2402, Balls: Black, Black, White, Red
# 2403, Balls: White, White, Blue, Green
# 2404, Balls: Blue, Blue, Green, Green
# 2405, Balls: Blue, Green, Black, Blue
# 2406, Balls: White, Blue, Blue, Black
# 2407, Balls: Black, Red, Black, Red
# 2408, Balls: Black, Green, Black, Black
# 2409, Balls: Green, Blue, Red, Blue
# 2410, Balls: Blue, Green, Red, Green
# 2411, Balls: Green, White, Black, Green
# 2412, Balls: White, Black, White, White
# 2413, Balls: Red, Blue, Green, Red
# 2414, Balls: Black, Black, Black, Green
# 2415, Balls: Black, Red, White, Black
# 2416, Balls: White, Green, Black, Black
# 2417, Balls: Green, Black, Green, White
# 2418, Balls: White, Red, Blue, Blue
# 2419, Balls: Green, Red, Black, Black
# 2420, Balls: Green, Black, Red, Black
# 2421, Balls: Blue, White, White, Blue
# 2422, Balls: Blue, Green, Green, Blue
# 2423, Balls: Red, Black, Blue, Blue
# 2424, Balls: White, White, White, Black
# 2425, Balls: Black, Black, Blue, Green
# 2426, Balls: White, Red, Black, Green
# 2427, Balls: Green, Blue, White, Red
# 2428, Balls: Green, Blue, Black, Blue
# 2429, Balls: White, White, Blue, Blue
# 2430, Balls: Red, White, Blue, Black
# 2431, Balls: Red, Red, Red, Black
# 2432, Balls: Red, White, Red, Blue
# 2433, Balls: White, White, White, Green
# 2434, Balls: Blue, Blue, Blue, Black
# 2435, Balls: Blue, White, Green, Blue
# 2436, Balls: Blue, Red, White, White
# 2437, Balls: Red, Black, Red, Green
# 2438, Balls: White, Black, Green, Red
# 2439, Balls: White, White, Green, Red
# 2440, Balls: Green, Red, White, Black
# 2441, Balls: White, White, Black, White
# 2442, Balls: White, Green, Black, Black
# 2443, Balls: Red, Blue, Red, Blue
# 2444, Balls: Green, Green, Black, Black
# 2445, Balls: Black, White, Blue, Green
# 2446, Balls: Black, Green, Blue, Blue
# 2447, Balls: White, Black, Blue, White
# 2448, Balls: White, White, White, Black
# 2449, Balls: Blue, Green, Blue, Blue
# 2450, Balls: Black, Black, Black, Black
# 2451, Balls: Black, Black, Green, Red
# 2452, Balls: Black, Red, Green, Blue
# 2453, Balls: Red, Green, White, Green
# 2454, Balls: Green, Blue, Blue, Green
# 2455, Balls: Black, Blue, Red, Red
# 2456, Balls: Red, Red, Red, Blue
# 2457, Balls: White, Blue, Black, Blue
# 2458, Balls: Blue, Blue, Blue, Black
# 2459, Balls: Red, Blue, Blue, Blue
# 2460, Balls: Blue, Red, White, Blue
# 2461, Balls: Red, Black, Black, Black
# 2462, Balls: Red, Black, White, Red
# 2463, Balls: White, White, Black, Red
# 2464, Balls: White, Blue, Black, Blue
# 2465, Balls: Green, Blue, Red, Green
# 2466, Balls: White, Red, White, Blue
# 2467, Balls: Blue, Blue, Red, Blue
# 2468, Balls: Black, Green, Green, White
# 2469, Balls: Blue, White, Blue, Green
# 2470, Balls: Black, Blue, Black, Blue
# 2471, Balls: Blue, Red, Red, Blue
# 2472, Balls: Green, Green, Blue, Black
# 2473, Balls: Blue, Blue, Blue, Green
# 2474, Balls: White, Green, Black, Red
# 2475, Balls: Green, White, Green, Blue
# 2476, Balls: Black, Blue, Green, Blue
# 2477, Balls: Green, Green, Blue, White
# 2478, Balls: Green, White, Blue, Green
# 2479, Balls: Red, Green, Red, Blue
# 2480, Balls: Green, Black, Black, Black
# 2481, Balls: Green, Green, Green, Green
# 2482, Balls: Green, Green, Blue, Blue
# 2483, Balls: White, Blue, Green, Green
# 2484, Balls: White, Black, White, Green
# 2485, Balls: Blue, Black, Black, Blue
# 2486, Balls: Green, Black, Blue, Red
# 2487, Balls: White, White, Blue, White
# 2488, Balls: Black, Blue, Black, Blue
# 2489, Balls: Blue, Green, Black, Green
# 2490, Balls: White, Green, White, White
# 2491, Balls: Black, Black, Green, Blue
# 2492, Balls: White, Blue, Black, Blue
# 2493, Balls: Blue, White, White, Blue
# 2494, Balls: Green, Black, Blue, Black
# 2495, Balls: Green, Blue, Black, Red
# 2496, Balls: Green, White, White, White
# 2497, Balls: Blue, Red, Black, Black
# 2498, Balls: Black, Red, Black, Red
# 2499, Balls: Blue, Blue, Blue, Red
# 2500, Balls: Green, Green, Black, Green
# 2501, Balls: Red, Green, Blue, Black
# 2502, Balls: Black, White, White, Black
# 2503, Balls: Black, Red, Red, Green
# 2504, Balls: Black, Blue, Black, Blue
# 2505, Balls: Red, Black, Blue, White
# 2506, Balls: Green, Black, White, Red
# 2507, Balls: Blue, Black, Black, White
# 2508, Balls: Green, White, Blue, Blue
# 2509, Balls: Red, Red, Black, Black
# 2510, Balls: Green, Black, Red, Red
# 2511, Balls: White, Blue, Green, Blue
# 2512, Balls: Blue, Blue, Black, Black
# 2513, Balls: Blue, Blue, Black, Black
# 2514, Balls: Blue, Blue, Blue, Black
# 2515, Balls: White, Red, Green, Blue
# 2516, Balls: Red, Green, White, Green
# 2517, Balls: Blue, Red, White, White
# 2518, Balls: Green, Green, Green, Green
# 2519, Balls: Black, Blue, White, Green
# 2520, Balls: Blue, White, Blue, White
# 2521, Balls: Black, Red, Black, Blue
# 2522, Balls: Blue, Black, Blue, Black
# 2523, Balls: Blue, Green, White, White
# 2524, Balls: Blue, Black, Blue, Blue
# 2525, Balls: Green, Black, White, Black
# 2526, Balls: Black, Blue, Black, Blue
# 2527, Balls: Red, Blue, Green, Green
# 2528, Balls: Black, Black, White, Red
# 2529, Balls: Blue, Red, Green, White
# 2530, Balls: Green, Black, Black, Black
# 2531, Balls: Blue, Green, Black, White
# 2532, Balls: White, White, Red, White
# 2533, Balls: Green, Black, Blue, Black
# 2534, Balls: Blue, White, Black, White
# 2535, Balls: White, Black, Black, Black
# 2536, Balls: Black, Blue, Green, Blue
# 2537, Balls: Blue, Black, Green, Blue
# 2538, Balls: Blue, Blue, Black, Blue
# 2539, Balls: Green, Red, Black, Red
# 2540, Balls: Red, Blue, Green, White
# 2541, Balls: Blue, White, Green, Blue
# 2542, Balls: Blue, White, Blue, Black
# 2543, Balls: Red, Black, Red, Black
# 2544, Balls: Green, White, White, Blue
# 2545, Balls: Red, Red, Red, Red
# 2546, Balls: Black, White, White, Blue
# 2547, Balls: White, White, Blue, Blue
# 2548, Balls: Blue, Black, Blue, Black
# 2549, Balls: Black, White, Green, Red
# 2550, Balls: Blue, Black, White, Green
# 2551, Balls: Blue, Green, Blue, Black
# 2552, Balls: Green, Green, Green, Red
# 2553, Balls: Blue, White, Black, Black
# 2554, Balls: Green, White, White, Black
# 2555, Balls: Blue, White, Red, Blue
# 2556, Balls: White, Red, Blue, White
# 2557, Balls: White, Red, Black, Blue
# 2558, Balls: Blue, Black, Black, Green
# 2559, Balls: White, Green, Green, Blue
# 2560, Balls: Black, Green, Black, Black
# 2561, Balls: Green, Green, White, Black
# 2562, Balls: White, White, Black, Black
# 2563, Balls: Black, Red, Blue, Red
# 2564, Balls: Red, White, Green, Black
# 2565, Balls: Blue, Red, Blue, Green
# 2566, Balls: Green, Black, Green, Green
# 2567, Balls: Green, Black, Green, Black
# 2568, Balls: Blue, Green, White, Red
# 2569, Balls: White, Green, Black, Blue
# 2570, Balls: White, Black, White, Black
# 2571, Balls: Green, White, Red, Red
# 2572, Balls: Green, White, Blue, Black
# 2573, Balls: Black, White, Green, White
# 2574, Balls: White, Red, Blue, Green
# 2575, Balls: Blue, Black, Blue, Red
# 2576, Balls: Red, Red, Black, Black
# 2577, Balls: Green, Blue, Black, White
# 2578, Balls: Black, Blue, Black, Blue
# 2579, Balls: Black, Red, Black, Black
# 2580, Balls: Red, Black, White, Blue
# 2581, Balls: Black, Red, Black, Blue
# 2582, Balls: White, Green, Green, Black
# 2583, Balls: Blue, Black, Blue, Blue
# 2584, Balls: Green, Blue, Green, Green
# 2585, Balls: Blue, Black, Blue, White
# 2586, Balls: Blue, Blue, White, Blue
# 2587, Balls: Blue, Blue, Red, Black
# 2588, Balls: White, Black, White, Black
# 2589, Balls: Green, White, White, Blue
# 2590, Balls: Black, Green, Blue, Blue
# 2591, Balls: Blue, Blue, Green, Black
# 2592, Balls: Blue, White, White, White
# 2593, Balls: Black, Blue, Black, Black
# 2594, Balls: Red, Blue, Red, Black
# 2595, Balls: White, Blue, Green, White
# 2596, Balls: Blue, Red, Green, White
# 2597, Balls: Black, Blue, White, Green
# 2598, Balls: Green, Black, White, White
# 2599, Balls: Black, Black, Red, White
# 2600, Balls: Black, White, Black, Black
# 2601, Balls: White, Blue, Red, Green
# 2602, Balls: Green, Green, Blue, Blue
# 2603, Balls: Blue, White, Black, Red
# 2604, Balls: Blue, Blue, White, White
# 2605, Balls: Red, Red, Green, Black
# 2606, Balls: Green, Red, Black, Green
# 2607, Balls: Red, White, White, Blue
# 2608, Balls: Blue, White, Black, Green
# 2609, Balls: Blue, White, Blue, Red
# 2610, Balls: Green, White, White, White
# 2611, Balls: Blue, Black, Blue, Blue
# 2612, Balls: Black, Black, Red, Black
# 2613, Balls: Red, Blue, Green, Blue
# 2614, Balls: Green, Blue, Blue, Black
# 2615, Balls: Blue, White, Green, Blue
# 2616, Balls: White, Green, Blue, Black
# 2617, Balls: Blue, Blue, Red, Blue
# 2618, Balls: White, Green, Green, Black
# 2619, Balls: Blue, Black, Blue, Blue
# 2620, Balls: Black, Green, Green, Blue
# 2621, Balls: Blue, White, Black, Blue
# 2622, Balls: Blue, Green, White, Red
# 2623, Balls: Black, Blue, Red, Red
# 2624, Balls: Green, Black, White, Black
# 2625, Balls: Blue, Blue, White, Blue
# 2626, Balls: Blue, Black, Blue, Blue
# 2627, Balls: Green, Green, Blue, White
# 2628, Balls: Green, Blue, Red, Black
# 2629, Balls: Blue, Black, Red, Black
# 2630, Balls: Red, Black, White, Red
# 2631, Balls: Blue, Black, Blue, Red
# 2632, Balls: Black, White, Blue, Blue
# 2633, Balls: Blue, Blue, Black, Blue
# 2634, Balls: White, Black, Green, Black
# 2635, Balls: Green, Black, Red, Blue
# 2636, Balls: Black, Green, White, Blue
# 2637, Balls: Green, Blue, Green, Blue
# 2638, Balls: Green, Green, Blue, Green
# 2639, Balls: Green, Green, White, Green
# 2640, Balls: Blue, White, White, Green
# 2641, Balls: Red, Red, Blue, Black
# 2642, Balls: Red, Black, Black, Green
# 2643, Balls: White, Red, Black, White
# 2644, Balls: Green, Red, Black, Blue
# 2645, Balls: Black, Black, Black, Green
# 2646, Balls: Black, Blue, Blue, Green
# 2647, Balls: White, Red, Green, Blue
# 2648, Balls: Black, Red, Red, Blue
# 2649, Balls: Blue, Red, Green, Blue
# 2650, Balls: Green, Black, Black, Black
# 2651, Balls: Blue, Black, Black, Blue
# 2652, Balls: Green, Blue, Black, Green
# 2653, Balls: Red, Black, Black, Blue
# 2654, Balls: Black, White, Green, White
# 2655, Balls: Black, White, Blue, Green
# 2656, Balls: Black, Green, Green, Black
# 2657, Balls: White, Red, White, Blue
# 2658, Balls: Black, Black, Blue, Blue
# 2659, Balls: Red, Blue, Blue, Red
# 2660, Balls: Black, Blue, Black, White
# 2661, Balls: Blue, Blue, Blue, Green
# 2662, Balls: Red, Green, Blue, Black
# 2663, Balls: Green, Black, White, Black
# 2664, Balls: White, Blue, White, Green
# 2665, Balls: Blue, Black, Red, Blue
# 2666, Balls: Black, Red, Blue, Black
# 2667, Balls: White, Black, Blue, White
# 2668, Balls: White, Black, Black, Blue
# 2669, Balls: Blue, Blue, Black, Black
# 2670, Balls: Green, Black, Green, White
# 2671, Balls: Black, Green, Red, Red
# 2672, Balls: Green, Red, Black, Red
# 2673, Balls: Blue, White, White, Green
# 2674, Balls: Black, Blue, Black, Green
# 2675, Balls: White, Black, Black, Red
# 2676, Balls: White, White, Blue, Green
# 2677, Balls: Green, White, Green, Black
# 2678, Balls: Black, Black, White, Green
# 2679, Balls: Blue, Green, Blue, Blue
# 2680, Balls: Black, Green, Red, Black
# 2681, Balls: Black, White, Red, Blue
# 2682, Balls: Blue, Blue, Green, Blue
# 2683, Balls: Blue, Black, Blue, Green
# 2684, Balls: Black, Red, Green, Black
# 2685, Balls: White, Black, Blue, Green
# 2686, Balls: Green, Blue, White, Black
# 2687, Balls: Black, Blue, White, White
# 2688, Balls: Green, White, Red, Green
# 2689, Balls: Red, Blue, Red, Red
# 2690, Balls: Green, Black, Green, Black
# 2691, Balls: Green, Green, Blue, Red
# 2692, Balls: Green, Black, Green, Black
# 2693, Balls: Black, Black, Black, Red
# 2694, Balls: Green, White, White, Black
# 2695, Balls: Red, Green, Red, Blue
# 2696, Balls: Black, Blue, White, Red
# 2697, Balls: Black, White, White, White
# 2698, Balls: Blue, White, Black, White
# 2699, Balls: Black, Black, Green, Red
# 2700, Balls: White, Blue, Blue, Red
# 2701, Balls: Red, Blue, Green, Black
# 2702, Balls: Green, Green, Green, Black
# 2703, Balls: Blue, Green, White, Blue
# 2704, Balls: White, Blue, Blue, Black
# 2705, Balls: Black, White, White, Black
# 2706, Balls: White, Green, Blue, Black
# 2707, Balls: Blue, Black, Black, Red
# 2708, Balls: Red, White, Black, Blue
# 2709, Balls: Blue, Black, Black, Blue
# 2710, Balls: Black, Black, Black, Black
# 2711, Balls: White, White, Black, Black
# 2712, Balls: Black, White, White, Green
# 2713, Balls: Blue, Blue, Green, Red
# 2714, Balls: Black, Blue, Green, Black
# 2715, Balls: Blue, Green, Blue, Red
# 2716, Balls: Black, Green, Black, Black
# 2717, Balls: Black, Green, Blue, Blue
# 2718, Balls: Blue, White, White, White
# 2719, Balls: Blue, Blue, Black, Red
# 2720, Balls: Red, Green, Blue, Blue
# 2721, Balls: Green, Blue, Blue, Black
# 2722, Balls: Black, Black, Black, Blue
# 2723, Balls: White, Green, Blue, White
# 2724, Balls: Blue, Blue, White, White
# 2725, Balls: Red, Green, Green, Black
# 2726, Balls: White, Green, Red, Red
# 2727, Balls: Red, Red, White, White
# 2728, Balls: Blue, Green, Blue, Green
# 2729, Balls: Black, Blue, Black, Black
# 2730, Balls: White, Red, Black, White
# 2731, Balls: Blue, Red, Black, Green
# 2732, Balls: Black, Black, Black, Red
# 2733, Balls: White, White, Black, Red
# 2734, Balls: Green, Black, Blue, Black
# 2735, Balls: Green, White, Black, Blue
# 2736, Balls: Blue, White, White, Red
# 2737, Balls: Black, Blue, Red, Red
# 2738, Balls: White, Black, Blue, Black
# 2739, Balls: Blue, Blue, Blue, White
# 2740, Balls: Green, Blue, Black, Green
# 2741, Balls: White, White, Black, Blue
# 2742, Balls: Green, White, Green, Blue
# 2743, Balls: Red, Green, Red, Green
# 2744, Balls: White, Red, Green, Blue
# 2745, Balls: White, White, White, White
# 2746, Balls: Blue, Blue, Green, Green
# 2747, Balls: Green, Red, Black, Black
# 2748, Balls: White, White, White, White
# 2749, Balls: Red, Red, Red, Black
# 2750, Balls: Green, Black, Black, Green
# 2751, Balls: White, Black, White, Black
# 2752, Balls: Green, Blue, Black, Blue
# 2753, Balls: Black, Red, Black, Black
# 2754, Balls: White, Blue, White, Blue
# 2755, Balls: Red, Red, Red, Black
# 2756, Balls: Black, Black, Black, Red
# 2757, Balls: Black, White, Blue, Blue
# 2758, Balls: Blue, Black, White, Green
# 2759, Balls: White, Black, White, White
# 2760, Balls: Blue, Black, White, Green
# 2761, Balls: Red, Red, Blue, Red
# 2762, Balls: Blue, Red, Black, Black
# 2763, Balls: Blue, Green, Blue, Blue
# 2764, Balls: Blue, Blue, Black, Green
# 2765, Balls: Blue, Black, White, Green
# 2766, Balls: Blue, White, Green, White
# 2767, Balls: Black, Green, Red, Blue
# 2768, Balls: Black, Red, Black, Black
# 2769, Balls: Blue, Blue, White, White
# 2770, Balls: Blue, Black, Black, Green
# 2771, Balls: Blue, White, Blue, Green
# 2772, Balls: White, White, Green, Blue
# 2773, Balls: Red, Blue, Red, Blue
# 2774, Balls: Green, Green, Red, Blue
# 2775, Balls: Green, Green, Green, Black
# 2776, Balls: Blue, Black, White, Blue
# 2777, Balls: Blue, Green, White, Blue
# 2778, Balls: Black, Green, Red, Blue
# 2779, Balls: Red, Red, Black, Blue
# 2780, Balls: Red, Red, Black, Green
# 2781, Balls: Red, Black, White, Green
# 2782, Balls: Green, Blue, Green, Green
# 2783, Balls: Blue, White, White, Blue
# 2784, Balls: Black, Red, Black, Black
# 2785, Balls: Red, Blue, Blue, Red
# 2786, Balls: Red, White, Green, Red
# 2787, Balls: White, Black, Red, Blue
# 2788, Balls: Red, Blue, Green, Blue
# 2789, Balls: Green, Green, Black, Blue
# 2790, Balls: Black, Green, White, Blue
# 2791, Balls: Red, Blue, Blue, Red
# 2792, Balls: Red, Green, Red, Red
# 2793, Balls: Blue, Green, Blue, Green
# 2794, Balls: Blue, Black, Black, White
# 2795, Balls: Black, Green, Black, Red
# 2796, Balls: White, Red, White, Green
# 2797, Balls: Blue, Red, Red, Black
# 2798, Balls: Green, Green, Green, Black
# 2799, Balls: Green, Blue, White, Blue
# 2800, Balls: Blue, Green, Green, Green
# 2801, Balls: White, Green, Black, Blue
# 2802, Balls: Black, White, Black, Red
# 2803, Balls: Blue, Red, Black, Red
# 2804, Balls: Black, White, Black, Red
# 2805, Balls: White, Black, Green, Blue
# 2806, Balls: Blue, Green, Red, Green
# 2807, Balls: Red, Green, Black, Black
# 2808, Balls: Red, Blue, Blue, Blue
# 2809, Balls: Black, Red, Blue, Blue
# 2810, Balls: Red, Red, White, Black
# 2811, Balls: Blue, White, Black, White
# 2812, Balls: White, Blue, Red, Green
# 2813, Balls: Black, White, Black, Black
# 2814, Balls: Green, Blue, White, Black
# 2815, Balls: Red, Green, Green, Green
# 2816, Balls: Blue, Green, White, Green
# 2817, Balls: Black, Blue, Black, Black
# 2818, Balls: Green, Green, Blue, Blue
# 2819, Balls: Green, Blue, Black, White
# 2820, Balls: White, Black, White, Red
# 2821, Balls: Blue, Blue, Green, Green
# 2822, Balls: Green, Black, Red, Green
# 2823, Balls: Green, White, White, Black
# 2824, Balls: Green, Black, Green, Black
# 2825, Balls: White, White, Black, Blue
# 2826, Balls: Black, Red, Blue, White
# 2827, Balls: Black, Black, Blue, White
# 2828, Balls: Black, Red, Blue, Red
# 2829, Balls: Blue, Black, Blue, White
# 2830, Balls: Black, Blue, Black, Blue
# 2831, Balls: Blue, Blue, Blue, Black
# 2832, Balls: White, Blue, Black, White
# 2833, Balls: Black, Red, Black, Blue
# 2834, Balls: Red, White, Black, Green
# 2835, Balls: Black, Blue, White, Blue
# 2836, Balls: Blue, Black, Green, Blue
# 2837, Balls: Black, Green, White, Green
# 2838, Balls: Red, Black, Black, Black
# 2839, Balls: Blue, Blue, Black, Blue
# 2840, Balls: Black, Black, Green, Red
# 2841, Balls: White, Black, Blue, Green
# 2842, Balls: Blue, Black, Green, Blue
# 2843, Balls: White, White, Blue, Black
# 2844, Balls: Green, White, Blue, White
# 2845, Balls: Blue, White, Red, Red
# 2846, Balls: Red, White, Green, Black
# 2847, Balls: Blue, White, Black, Blue
# 2848, Balls: Green, Green, Black, Black
# 2849, Balls: Black, Black, Red, Blue
# 2850, Balls: Black, Black, White, Red
# 2851, Balls: Red, Black, Red, Black
# 2852, Balls: Red, Blue, Red, Green
# 2853, Balls: Green, Black, Blue, Black
# 2854, Balls: Blue, Black, Black, Black
# 2855, Balls: Red, Black, Black, White
# 2856, Balls: Blue, Green, Green, Black
# 2857, Balls: Green, Green, Black, Red
# 2858, Balls: Green, White, Black, Green
# 2859, Balls: Black, Black, Black, Blue
# 2860, Balls: Green, Green, Blue, Green
# 2861, Balls: Black, Green, White, Blue
# 2862, Balls: Blue, Green, White, White
# 2863, Balls: Red, Red, Blue, Blue
# 2864, Balls: Black, White, White, Red
# 2865, Balls: Green, Green, Green, Blue
# 2866, Balls: Blue, Blue, White, Green
# 2867, Balls: Black, Green, White, Black
# 2868, Balls: Black, White, Blue, White
# 2869, Balls: Green, Black, Blue, Blue
# 2870, Balls: Red, White, Green, Black
# 2871, Balls: Green, Black, Blue, Black
# 2872, Balls: Black, Blue, Black, Black
# 2873, Balls: White, Blue, Red, Blue
# 2874, Balls: Green, Blue, Blue, Green
# 2875, Balls: Green, Red, Green, Green
# 2876, Balls: Black, Black, White, Green
# 2877, Balls: Green, Blue, Red, Black
# 2878, Balls: Blue, Black, Green, Blue
# 2879, Balls: Green, Green, Black, Red
# 2880, Balls: Blue, Green, White, White
# 2881, Balls: Black, Black, Blue, Red
# 2882, Balls: Black, Black, Red, Red
# 2883, Balls: Red, White, White, Blue
# 2884, Balls: Blue, Blue, Black, Black
# 2885, Balls: Blue, Black, Blue, Black
# 2886, Balls: White, Green, Red, Blue
# 2887, Balls: Red, Red, Green, Red
# 2888, Balls: Green, Red, Black, Green
# 2889, Balls: White, Green, Blue, Black
# 2890, Balls: Green, Green, Black, Green
# 2891, Balls: Blue, White, Red, White
# 2892, Balls: Black, White, White, Blue
# 2893, Balls: Green, Blue, Black, Black
# 2894, Balls: Green, Black, White, Black
# 2895, Balls: White, Black, Green, White
# 2896, Balls: Green, Black, Blue, Blue
# 2897, Balls: White, White, Blue, Green
# 2898, Balls: Blue, Blue, Blue, White
# 2899, Balls: Red, Black, Blue, Green
# 2900, Balls: Green, White, White, Black
# 2901, Balls: Blue, White, Green, Green
# 2902, Balls: Blue, Blue, Blue, Green
# 2903, Balls: Blue, Green, Green, Blue
# 2904, Balls: White, White, Black, Green
# 2905, Balls: Red, Green, Black, Black
# 2906, Balls: Red, White, White, Blue
# 2907, Balls: Black, Green, Blue, Black
# 2908, Balls: Blue, Green, Black, Blue
# 2909, Balls: Blue, Blue, Black, White
# 2910, Balls: White, Black, White, Blue
# 2911, Balls: Red, White, Red, Blue
# 2912, Balls: Red, White, Black, White
# 2913, Balls: Black, Red, White, Blue
# 2914, Balls: Green, Black, Black, Black
# 2915, Balls: Black, Black, Blue, White
# 2916, Balls: White, White, Black, Green
# 2917, Balls: Red, Red, Blue, Red
# 2918, Balls: Black, Black, Red, Black
# 2919, Balls: Red, Blue, Blue, Black
# 2920, Balls: Green, Green, Green, Blue
# 2921, Balls: Green, Black, Black, Black
# 2922, Balls: Black, Black, Black, White
# 2923, Balls: Black, Red, Black, Blue
# 2924, Balls: Red, Black, Red, Green
# 2925, Balls: Blue, Blue, White, Red
# 2926, Balls: Black, Blue, Blue, Green
# 2927, Balls: Green, Blue, Green, White
# 2928, Balls: Blue, White, Black, Blue
# 2929, Balls: Black, Red, Red, Black
# 2930, Balls: Red, Black, Black, White
# 2931, Balls: White, White, Green, Black
# 2932, Balls: Green, Blue, Red, Blue
# 2933, Balls: Blue, Red, Black, Blue
# 2934, Balls: Black, Blue, White, White
# 2935, Balls: Green, Red, Black, Green
# 2936, Balls: Green, Black, White, Green
# 2937, Balls: Blue, Black, Blue, White
# 2938, Balls: Blue, Blue, Black, Blue
# 2939, Balls: Green, Green, Black, Green
# 2940, Balls: White, White, Blue, Blue
# 2941, Balls: Black, Red, Blue, Black
# 2942, Balls: Black, Blue, Red, Blue
# 2943, Balls: Green, Green, Blue, White
# 2944, Balls: White, Blue, Green, Green
# 2945, Balls: Blue, Blue, Green, Green
# 2946, Balls: Blue, Black, Blue, Blue
# 2947, Balls: Blue, Blue, Red, Black
# 2948, Balls: White, White, Black, Red
# 2949, Balls: Blue, White, White, Blue
# 2950, Balls: Green, Blue, Blue, Blue
# 2951, Balls: Blue, White, Blue, Green
# 2952, Balls: White, White, Blue, White
# 2953, Balls: Green, Red, Black, Red
# 2954, Balls: Black, Blue, Blue, Blue
# 2955, Balls: White, White, Green, Blue
# 2956, Balls: Green, Blue, Black, Blue
# 2957, Balls: Green, Green, Green, Black
# 2958, Balls: Blue, Blue, White, Green
# 2959, Balls: Red, Green, Red, Red
# 2960, Balls: Black, Green, Green, Green
# 2961, Balls: Green, White, Black, White
# 2962, Balls: Blue, Green, Green, Green
# 2963, Balls: Green, Black, Black, Red
# 2964, Balls: Blue, Red, Black, Blue
# 2965, Balls: Black, Blue, Blue, Black
# 2966, Balls: Black, Red, Red, Blue
# 2967, Balls: Blue, White, White, Black
# 2968, Balls: Green, Blue, Green, Blue
# 2969, Balls: Black, Blue, Red, White
# 2970, Balls: Black, Blue, Blue, Black
# 2971, Balls: Black, Black, Blue, Blue
# 2972, Balls: Red, Green, Black, White
# 2973, Balls: White, White, Green, White
# 2974, Balls: Green, Green, Blue, Blue
# 2975, Balls: Blue, White, Green, Black
# 2976, Balls: White, Blue, Blue, Green
# 2977, Balls: Green, White, Red, White
# 2978, Balls: Black, Green, Red, Green
# 2979, Balls: Blue, Green, White, Blue
# 2980, Balls: Black, Black, Green, White
# 2981, Balls: Green, Blue, Black, Black
# 2982, Balls: Blue, White, Green, White
# 2983, Balls: Red, Red, Blue, Red
# 2984, Balls: Black, Red, Green, Black
# 2985, Balls: White, Blue, Red, Blue
# 2986, Balls: Blue, Green, Black, Blue
# 2987, Balls: Black, Green, Black, Black
# 2988, Balls: Blue, White, White, Green
# 2989, Balls: Red, Blue, Black, Black
# 2990, Balls: Green, Black, Red, Red
# 2991, Balls: Blue, Green, Blue, Red
# 2992, Balls: Black, Black, Black, Black
# 2993, Balls: Black, Blue, Black, Green
# 2994, Balls: White, Green, Green, Blue
# 2995, Balls: Blue, Blue, Black, Blue
# 2996, Balls: Green, Black, White, White
# 2997, Balls: Blue, White, Blue, White
# 2998, Balls: Black, Green, Red, Blue
# 2999, Balls: Green, White, Blue, White
# 3000, Balls: White, Blue, White, Red
# 3001, Balls: Red, Blue, Red, Red
# 3002, Balls: Green, Green, Black, Red
# 3003, Balls: Blue, Red, Black, Green
# 3004, Balls: Green, White, Green, Blue
# 3005, Balls: Red, White, Green, Blue
# 3006, Balls: Green, Green, White, Green
# 3007, Balls: Blue, Black, Green, Red
# 3008, Balls: White, Black, Black, Blue
# 3009, Balls: Blue, White, Black, Blue
# 3010, Balls: Black, Green, Green, Green
# 3011, Balls: Blue, Blue, White, Blue
# 3012, Balls: Black, White, White, Red
# 3013, Balls: White, Green, Green, Blue
# 3014, Balls: Green, Red, White, Black
# 3015, Balls: White, Blue, White, Green
# 3016, Balls: White, Green, Blue, Green
# 3017, Balls: Black, Blue, Red, White
# 3018, Balls: Green, White, White, Red
# 3019, Balls: Blue, Red, Black, Blue
# 3020, Balls: White, Green, Black, Blue
# 3021, Balls: Blue, Black, White, Black
# 3022, Balls: Black, Blue, Green, Green
# 3023, Balls: Green, Red, Black, Blue
# 3024, Balls: Blue, White, White, Blue
# 3025, Balls: Blue, Black, Red, Green
# 3026, Balls: Red, Black, Green, Black
# 3027, Balls: Black, Blue, Green, Black
# 3028, Balls: Green, Green, Green, Blue
# 3029, Balls: Green, Blue, White, Blue
# 3030, Balls: Black, White, Blue, White
# 3031, Balls: White, Blue, Red, Blue
# 3032, Balls: Red, White, Black, Black
# 3033, Balls: Blue, Green, Green, Blue
# 3034, Balls: Black, Blue, Blue, White
# 3035, Balls: Green, Blue, Black, Black
# 3036, Balls: Black, White, White, White
# 3037, Balls: Red, Black, Green, Green
# 3038, Balls: Red, Red, White, Black
# 3039, Balls: Blue, White, Green, Blue
# 3040, Balls: Red, Green, Green, Black
# 3041, Balls: Red, White, Black, Green
# 3042, Balls: Green, Black, Blue, Red
# 3043, Balls: Red, Blue, Blue, Green
# 3044, Balls: Red, Black, Black, Black
# 3045, Balls: Blue, Blue, Black, Blue
# 3046, Balls: Black, Green, Green, Blue
# 3047, Balls: White, Red, Black, Green
# 3048, Balls: White, Green, White, Blue
# 3049, Balls: Red, Green, Green, Black
# 3050, Balls: Black, Black, Red, Black
# 3051, Balls: Red, Blue, White, Black
# 3052, Balls: Blue, Green, Green, Red
